source_platform,app_id,country,review_id,review_title,review_text,rating,review_date,user_name,collected_at
Apple App Store,570060128,us,14072661693,Repetitive,"Duolingo is a good choice for language learning it teaches you vocabulary grammer, words etc but it’s super reparative it takes so long to finish sections especially for a big language like Spanish. Also it doesn’t teach especial words like why do have to know what a peach or mango  is before normal conversational words 99.9999% conversations don’t need mango or peache(this is a example many other useless words) ,if it focused on essential words way more early on the app would have been perfect while keeping words like this later on. Honestly it deserves a 2-3 stars but just because it’s the better language learning sites and it gets you more hooked it deserves a 4. Although there are many useless languages like Hugh valeyrian or Yiddish but no Persian Thai Afrikaans etc",4,2026-05-16 16:02:06-07:00,Mohebullah123,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072657854,Garbage,"After subscribing to ""Duolingo Lite"" (ad supported) I discovered I could not complete a specific lesson in time unless I purchased something ""in game"" that would extend the timer. So I upgraded to the full version, believing that the full version was going to allow me to complete the lessons without buying extensions. I was wrong. I still can't move on in the lessons because they don't allow enough time to finish the timed session I'm currently on. They purposely interrupt the timed session in order to throw you off, because they don't care whether you learn a language. They just want as much money as they can possibly con out of you.",1,2026-05-16 16:00:26-07:00,vfggjgffhhjj,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072653230,"Amazing, but some suggestions!","Thank to all the people out there who spent their time building Duolingo. I think this has helped me so much, especially at school. I have become almost fluent in like, what, two months? Also, I didn’t have the paid subscription back then, but it still worked out the same. This app is very encouraging and helps you whenever you need it. Now whenever I see someone who speaks Spanish, they are blown away by me. (my excuse? DUOLINGO!)
Anyway, I just wanted to point out some things as of 2026 might need some fixing:
1. The app sometimes crashes in the middle of a lesson(Not a lot, still my favorite app!)
2. Make Oscar harder. He’s not Magnus Carlson, but he could be a little better at chess.
3. Make the music course a bit less, ??? I kinda don’t know. Like, more like a piano, I guess?

Thank you, and whoever is reading this review, please get this app, because thanks to Duolingo, I get 100s in all of my Spanish tests at school.😊",5,2026-05-16 15:58:25-07:00,LionPride2033,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072635136,I’m scared 😱,Why did all my apps turn into Duolingo? I will do my English lesson sorry,5,2026-05-16 15:50:40-07:00,Bad game ￼￼,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072626532,Thanks,This app has helped me remember chess,5,2026-05-16 15:46:56-07:00,Mjisbetter,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072614085,i wish every thing was free,i love this language learning app but i wish you had unlimited energy. and i wish the video call with Lily could be free (Lily’s my fav   character in Duolingo),5,2026-05-16 15:41:33-07:00,kittykisses07,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072607425,Really bad,"The new energy is stupid, the whole app is a money grab.",1,2026-05-16 15:38:42-07:00,Frostburn45- not a bot,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072578268,Love,I learn so much! But pls stop the ads for super duolingo,5,2026-05-16 15:26:14-07:00,rizzler2015,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072532676,Duolingo Review,I love Duolingo and it’s very fun. One thing I despise is the new energy set up  It limits your learning each day. I would rather have hearts or something else and my friends agree.,3,2026-05-16 15:06:57-07:00,WarriorOfTheMind14,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072521526,.,This thing is always reminding me to practice bro.Can’t u just let me be .A reminder every minute won’t change anything.🙄,3,2026-05-16 15:02:20-07:00,😤😡😭😩🙄😬,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072467419,Read this first,Duo took my family HELP!!!!!,1,2026-05-16 14:40:03-07:00,Ultra Pikachu,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072465675,Amazing,I learn so much it makes it like a game and it rewards me for coming back,5,2026-05-16 14:39:21-07:00,fbjgfgnhbgcvb,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072442923,Excelente aplicación,He aprendido mucho inglés con este método ! Súper recomendado,5,2026-05-16 14:30:05-07:00,Dianelys Barzaga,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072426892,Love it but I want Yoruba on it,So the main character in my book and his younger sister are Nigerian and speak Yoruba so I was wondering if you could add it to the platform,3,2026-05-16 14:23:38-07:00,I’d love it 😄😃,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14072424326,Why.,"Okay, Duolingo is amazing but also stupid. I love it with my life, and it’s seriously great but it has a few bugs that drive me insane.
1) I turned off my leaderboard but now I want it back right. It won’t turn on. I looked on my friend’s iPad and it allows her but for me the option is just gone. Why? 
2) I lost my friend streak with my friends multiple times when I did my Duolingo. Recently, my friends and I had a 198 streak and we lost it because she didn’t do her Duolingo when she did. 
3) I have really wanted to learn Tamil and it says Duolingo has it but for some reason it doesn’t? I’m really confused so please stop confusing people on what languages are available.

Duolingo people, if you read this, please fix these bugs. I would and others might too appreciate it. (Also sorry about grammar errors when I typed this)",1,2026-05-16 14:22:36-07:00,ReviewingAppsHonestly,2026-05-20T03:14:33.977405+00:00
